"file","year","month","tmax","tmin","ppt"
"tmax_4kmM2_201307","2013","07",31.0181817141446,NA,NA
"tmax_4kmM2_201308","2013","08",28.3263634768399,NA,NA
"tmax_4kmM2_201309","2013","09",26.7918184453791,NA,NA
"tmax_4kmM2_201310","2013","10",20.6890910755504,NA,NA
"tmax_4kmM2_201311","2013","11",12.5463635704734,NA,NA
"tmax_4kmM2_201312","2013","12",8.93545454198664,NA,NA
"tmax_4kmM2_201401","2014","01",3.52727272293784,NA,NA
"tmax_4kmM2_201402","2014","02",6.69090903889049,NA,NA
"tmax_4kmM2_201403","2014","03",9.38090905276212,NA,NA
"tmax_4kmM2_201404","2014","04",19.0481818806041,NA,NA
"tmax_4kmM2_201405","2014","05",25.0018185702237,NA,NA
"tmax_4kmM2_201406","2014","06",29.091818376021,NA,NA
"tmax_4kmM2_201407","2014","07",30.2545453851873,NA,NA
"tmax_4kmM2_201408","2014","08",28.7627272172408,NA,NA
"tmax_4kmM2_201409","2014","09",26.7218182303689,NA,NA
"tmax_4kmM2_201410","2014","10",20.687272678722,NA,NA
"tmax_4kmM2_201411","2014","11",11.8954545801336,NA,NA
"tmax_4kmM2_201412","2014","12",9.31636368144642,NA,NA
"tmax_4kmM2_201501","2015","01",4.34818185459484,NA,NA
"tmax_4kmM2_201502","2015","02",2.50636365196922,NA,NA
"tmax_4kmM2_201503","2015","03",10.1645454926924,NA,NA
"tmax_4kmM2_201504","2015","04",19.3936367034912,NA,NA
"tmax_4kmM2_201505","2015","05",26.8063638860529,NA,NA
"tmax_4kmM2_201506","2015","06",28.4327272935347,NA,NA
"tmax_4kmM2_201507","2015","07",30.4790909507058,NA,NA
"tmax_4kmM2_201508","2015","08",30.2818182164972,NA,NA
